,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
0,A,"Agilent Technologies, Inc.",Healthcare,Medical Laboratories & Research,USA,25890000000,22.70,81.42,-0.33%,"1,254,742"
1,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,5410000000,24.21,29.10,-1.89%,"2,355,477"
3,AAC,"AAC Holdings, Inc.",Healthcare,Specialized Health Services,USA,50190000,-,2.10,1.94%,"79,707"
5,AAMC,Altisource Asset Management Corporation,Financial,Asset Management,USA,47080000,-,29.80,-0.67%,"3,288"
6,AAN,"Aaron's, Inc.",Services,Rental & Leasing Services,USA,3590000000,19.06,52.88,-1.27%,"265,594"
7,AAP,"Advance Auto Parts, Inc.",Services,Auto Parts Stores,USA,12820000000,31.06,175.65,-1.09%,"616,239"
8,AAT,"American Assets Trust, Inc.",Financial,REIT - Retail,USA,2140000000,108.62,45.51,-1.07%,"225,347"
9,AAU,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,62370000,-,0.57,1.20%,"37,823"
10,AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,2790000000,11.59,29.02,-1.02%,"227,646"
11,ABB,ABB Ltd,Industrial Goods,Diversified Machinery,Switzerland,42460000000,28.73,19.48,-1.37%,"1,689,433"
12,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - Major,USA,122460000000,22.82,82.69,-1.54%,"3,712,813"
13,ABC,AmerisourceBergen Corporation,Services,Drugs Wholesale,USA,16070000000,14.99,77.43,-0.88%,"957,123"
14,ABEV,Ambev S.A.,Consumer Goods,Beverages - Brewers,Brazil,71680000000,25.91,4.56,1.56%,"31,511,586"
15,ABG,"Asbury Automotive Group, Inc.",Services,Auto Dealerships,USA,1420000000,8.65,71.74,-0.58%,"104,915"
16,ABM,ABM Industries Incorporated,Services,Business Services,USA,2400000000,31.16,36.49,-1.54%,"234,952"
17,ABR,"Arbor Realty Trust, Inc.",Financial,REIT - Diversified,USA,1140000000,9.13,13.49,-0.66%,"900,900"
18,ABT,Abbott Laboratories,Healthcare,Medical Appliances & Equipment,USA,137520000000,56.52,78.67,0.19%,"4,836,715"
19,AC,"Associated Capital Group, Inc.",Financial,Asset Management,USA,890480000,-,39.28,1.16%,"3,151"
20,ACB,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Other,Canada,8500000000,40.79,8.81,-2.54%,"21,751,244"
21,ACC,"American Campus Communities, Inc.",Financial,REIT - Residential,USA,6500000000,56.54,47.44,-0.88%,"609,182"
22,ACCO,ACCO Brands Corporation,Consumer Goods,Office Supplies,USA,865880000,8.25,8.53,-2.18%,"556,253"
23,ACH,Aluminum Corporation of China Limited,Basic Materials,Aluminum,China,10160000000,84.02,10.67,-1.57%,"75,469"
25,ACM,AECOM,Services,Technical Services,USA,4770000000,73.96,30.84,-1.91%,"405,785"
26,ACN,Accenture plc,Technology,Information Technology Services,Ireland,118500000000,25.63,177.73,-0.66%,"1,813,989"
28,ACRE,Ares Commercial Real Estate Corporation,Financial,REIT - Diversified,USA,440860000,11.45,15.42,0.00%,"171,270"
30,ACU,Acme United Corporation,Consumer Goods,Housewares & Accessories,USA,63630000,15.34,19.64,2.03%,"23,055"
33,ACY,AeroCentury Corp.,Services,Rental & Leasing Services,USA,18550000,-,11.74,1.02%,413
34,ADC,Agree Realty Corporation,Financial,Property Management,USA,2520000000,38.26,67.69,-0.35%,"142,404"
35,ADM,Archer-Daniels-Midland Company,Consumer Goods,Farm Products,USA,24130000000,13.65,42.78,-0.72%,"4,127,563"
36,ADNT,Adient plc,Consumer Goods,Auto Parts,Ireland,1540000000,-,16.47,-2.02%,"1,408,540"
37,ADS,Alliance Data Systems Corporation,Services,Business Services,USA,9540000000,10.44,177.21,-0.64%,"406,143"
38,ADSW,"Advanced Disposal Services, Inc.",Industrial Goods,Waste Management,USA,2450000000,262.67,27.58,-0.68%,"258,207"
39,ADT,ADT Inc.,Services,Security & Protection Services,USA,4950000000,-,6.49,-1.82%,"7,404,563"
40,ADX,"Adams Diversified Equity Fund, Inc.",Financial,Closed-End Fund - Equity,USA,1560000000,-,14.73,-0.61%,"271,006"
41,AE,"Adams Resources & Energy, Inc.",Basic Materials,Oil & Gas Refining & Marketing,USA,156140000,12.50,37.00,-1.65%,"1,919"
42,AEE,Ameren Corporation,Utilities,Electric Utilities,USA,17600000000,21.70,72.02,0.49%,"828,201"
43,AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc.",Financial,Asset Management,United Kingdom,447770000,-,7.49,-0.66%,"90,531"
44,AEG,Aegon N.V.,Financial,Life Insurance,Netherlands,10520000000,14.31,4.95,-1.20%,"1,186,005"
45,AEL,American Equity Investment Life Holding Company,Financial,Life Insurance,USA,2470000000,5.50,27.54,-2.96%,"290,342"
46,AEM,Agnico Eagle Mines Limited,Basic Materials,Gold,Canada,10330000000,-,43.69,-0.16%,"950,199"
47,AEO,"American Eagle Outfitters, Inc.",Services,Apparel Stores,USA,3730000000,14.73,21.67,-2.56%,"3,487,144"
48,AEP,"American Electric Power Company, Inc.",Utilities,Electric Utilities,USA,40760000000,21.57,83.57,0.51%,"1,898,481"
49,AER,AerCap Holdings N.V.,Services,"Air Services, Other",Netherlands,6650000000,6.90,47.10,-2.69%,"1,182,738"
50,AES,The AES Corporation,Utilities,Electric Utilities,USA,12040000000,11.75,18.11,0.67%,"4,410,824"
51,AFB,AllianceBernstein National Municipal Income Fund,Financial,Closed-End Fund - Debt,USA,371960000,-,12.94,0.23%,"72,284"
52,AFG,"American Financial Group, Inc.",Financial,Property & Casualty Insurance,USA,8550000000,16.41,95.88,-0.91%,"337,666"
54,AFI,"Armstrong Flooring, Inc.",Industrial Goods,General Building Materials,USA,378870000,-,14.59,0.41%,"129,812"
56,AFL,Aflac Incorporated,Financial,Accident & Health Insurance,USA,36560000000,12.94,49.04,-0.16%,"3,081,950"
57,AFT,Apollo Senior Floating Rate Fund Inc.,Financial,Asset Management,USA,234220000,-,15.04,-0.46%,"66,666"
